"","V1","V2"
"929","Wyśmierzyce","obszar wiejski"
"930","Ciechanów","gm. miejska"
"931","Brzeźnica","-"
"932","Kalwaria Zebrzydowska","miasto"
"933","Kalwaria Zebrzydowska","obszar wiejski"
"934","Lanckorona","-"
"935","Krasocin","-"
"936","Brzeziny","-"
"937","Koźminek","-"
"938","Żabno","obszar wiejski"
"939","Zakopane","-"
"940","Biały Dunajec","-"
"941","Ciechanów","-"
"942","Glinojeck","miasto"
"943","Mucharz","-"
"944","Spytkowice","-"
"945","Stryszów","-"
"946","Tomice","-"
"947","Wadowice","miasto"
"948","Wieprz","-"
"949","Żarnów","-"
"950","Konstantynów Łódzki","-"
"951","Pabianice","-"
"952","Bukowina Tatrzańska","-"
"953","Kościelisko","-"
"954","Poronin","-"
"955","Glinojeck","obszar wiejski"
"956","Gołymin-Ośrodek","-"
"957","Grudusk","-"
"958","Wadowice","obszar wiejski"
"959","Biskupice","-"
"960","Gdów","-"
"961","Miedźno","-"
"962","Popów","-"
"963","Fałków","-"
"964","Andrychów","miasto"
"965","Łazy","obszar wiejski"
"966","Ogrodzieniec","miasto"
"967","Ojrzeń","-"
"968","Opinogóra Górna","-"
"969","Regimin","-"
"970","Kłaj","-"
"971","Niepołomice","miasto"
"972","Niepołomice","obszar wiejski"
"973","Wieliczka","miasto"
"974","Kraków","-"
"975","Lisków","-"
"976","Szczytniki","-"
"977","Drzewica","obszar wiejski"
"978","Ogrodzieniec","obszar wiejski"
"979","Pilica","obszar wiejski"
"980","Sońsk","-"
"981","Garwolin","gm. miejska"
"982","Łaskarzew","gm. miejska"
"983","Garwolin","-"
"984","Wieliczka","obszar wiejski"
"985","Nowy Sącz","-"
"986","Tarnów","-"
"987","Dłutów","-"
"988","Dobroń","-"
"989","Ksawerów","-"
"990","Lutomiersk","-"
"991","Żarnowiec","-"
"992","Jeleśnia","-"
"993","Koszarawa","-"
"994","Łękawica","-"
"995","Górzno","-"
"996","Łaskarzew","-"
"997","Parysów","-"
"998","Czarna","-"
"999","Jodłowa","-"
"1000","Pilzno","obszar wiejski"
"1001","Gowarczów","-"
"1002","Końskie","obszar wiejski"
"1003","Ruda Maleniecka","-"
"1004","Ślemień","-"
"1005","Dąbrowa Górnicza","-"
"1006","Pilawa","miasto"
"1007","Pilawa","obszar wiejski"
"1008","Sobolew","-"
"1009","Dębowiec","-"
"1010","Jasło","-"
"1011","Mniszków","-"
"1012","Opoczno","miasto"
"1013","Opoczno","obszar wiejski"
"1014","Jaworzno","-"
"1015","Sosnowiec","-"
"1016","Wilga","-"
"1017","Gostynin","gm. miejska"
"1018","Milanówek","-"
"1019","Podkowa Leśna","-"
"1020","Baranów","-"
"1021","Krempna","-"
"1022","Skołyszyn","-"
"1023","Czermin","-"
"1024","Ryglice","miasto"
"1025","Pabianice","-"
"1026","Działoszyn","miasto"
"1027","Działoszyn","obszar wiejski"
"1028","Nowy Korczyn","-"
"1029","Pacanów","-"
"1030","Stoczek Łukowski","-"
"1031","Trzebieszów","-"
"1032","Wojcieszków","-"
"1033","Żelechów","obszar wiejski"
"1034","Gniewoszów","-"
"1035","Sieciechów","-"
"1036","Chotcza","-"
"1037","Sieradz","gm. miejska"
"1038","Błaszki","miasto"
"1039","Świnice Warckie","-"
"1040","Witonia","-"
"1041","Łowicz","-"
"1042","Opole Lubelskie","obszar wiejski"
"1043","Poniatowa","miasto"
"1044","Poniatowa","obszar wiejski"
"1045","Wola Mysłowska","-"
"1046","Ułęż","-"
"1047","Solec nad Wisłą","-"
"1048","Huszlew","-"
"1049","Olszanka","-"
"1050","Sarnaki","-"
"1051","Bielawy","-"
"1052","Chąśno","-"
"1053","Domaniewice","-"
"1054","Kiernozia","-"
"1055","Kocierzew Południowy","-"
"1056","Wilków","-"
"1057","Dębowa Kłoda","-"
"1058","Jabłoń","-"
"1059","Mełgiew","-"
"1060","Piaski","miasto"
"1061","Piaski","obszar wiejski"
"1062","Rybczewice","-"
"1063","Stara Kornica","-"
"1064","Domanice","-"
"1065","Wiśniew","-"
"1066","Wodynie","-"
"1067","Łowicz","-"
"1068","Łyszkowice","-"
"1069","Nieborów","-"
"1070","Zduny","-"
"1071","Brzeziny","gm. miejska"
"1072","Milanów","-"
"1073","Parczew","miasto"
"1074","Parczew","obszar wiejski"
"1075","Podedwórze","-"
"1076","Trawniki","-"
"1077","Tomaszów Lubelski","gm. miejska"
"1078","Bełżec","-"
"1079","Jarczów","-"
"1080","Zbuczyn","-"
"1081","Policzna","-"
"1082","Andrespol","-"
"1083","Brójce","-"
"1084","Brzeziny","-"
"1085","Dmosin","-"
"1086","Siemień","-"
"1087","Sosnowica","-"
"1088","Puławy","gm. miejska"
"1089","Krynice","-"
"1090","Lubycza Królewska","-"
"1091","Rachanie","-"
"1092","Przyłęk","-"
"1093","Kuryłówka","-"
"1094","Jeżów","-"
"1095","Oświęcim","-"
"1096","Polanka Wielka","-"
"1097","Przeciszów","-"
"1098","Baranów","-"
"1099","Janowiec","-"
"1100","Kazimierz Dolny","miasto"
"1101","Susiec","-"
"1102","Tarnawatka","-"
"1103","Człopa","obszar wiejski"
"1104","Wola Krzysztoporska","-"
"1105","Słupia","-"
"1106","Tomaszów Mazowiecki","gm. miejska"
"1107","Będków","-"
"1108","Budziszewice","-"
"1109","Czerniewice","-"
"1110","Kazimierz Dolny","obszar wiejski"
"1111","Końskowola","-"
"1112","Kurów","-"
"1113","Markuszów","-"
"1114","Telatyn","-"
"1115","Tomaszów Lubelski","-"
"1116","Tyszowce","miasto"
"1117","Ulhówek","-"
"1118","Włodawa","-"
"1119","Dalików","-"
"1120","Pęczniew","-"
"1121","Poddębice","miasto"
"1122","Biała","-"
"1123","Czarnożyły","-"
"1124","Konopnica","-"
"1125","Mokrsko","-"
"1126","Nałęczów","miasto"
"1127","Nałęczów","obszar wiejski"
"1128","Puławy","-"
"1129","Wąwolnica","-"
"1130","Hanna","-"
"1131","Hańsk","-"
"1132","Stary Brus","-"
"1133","Włodawa","-"
"1134","Poddębice","obszar wiejski"
"1135","Uniejów","miasto"
"1136","Uniejów","obszar wiejski"
"1137","Zator","miasto"
"1138","Zator","obszar wiejski"
"1139","Koniusza","-"
"1140","Żyrzyn","-"
"1141","Radzyń Podlaski","gm. miejska"
"1142","Borki","-"
"1143","Urszulin","-"
"1144","Wola Uhruska","-"
"1145","Wartkowice","-"
"1146","Zadzim","-"
"1147","Radomsko","-"
"1148","Kamieńsk","miasto"
"1149","Inowłódz","-"
"1150","Lubochnia","-"
"1151","Rokiciny","-"
"1152","Rzeczyca","-"
"1153","Czemierniki","-"
"1154","Kąkolewnica","-"
"1155","Komarówka Podlaska","-"
"1156","Wyryki","-"
"1157","Adamów","-"
"1158","Gidle","-"
"1159","Gomunice","-"
"1160","Osjaków","-"
"1161","Ostrówek","-"
"1162","Pątnów","-"
"1163","Skomlin","-"
"1164","Radzyń Podlaski","-"
"1165","Ulan-Majorat","-"
"1166","Grabowiec","-"
"1167","Komarów-Osada","-"
"1168","Krasnobród","miasto"
"1169","Krasnobród","obszar wiejski"
"1170","Łabunie","-"
"1171","Kamieńsk","obszar wiejski"
"1172","Kobiele Wielkie","-"
"1173","Kodrąb","-"
"1174","Koluszki","miasto"
"1175","Koluszki","obszar wiejski"
"1176","Nowosolna","-"
"1177","Rogów","-"
"1178","Wohyń","-"
"1179","Dęblin","-"
"1180","Kłoczew","-"
"1181","Nowodwór","-"
"1182","Miączyn","-"
"1183","Nielisz","-"
"1184","Radecznica","-"
"1185","Sitno","-"
"1186","Lgota Wielka","-"
"1187","Ładzice","-"
"1188","Masłowice","-"
"1189","Przedbórz","miasto"
"1190","Tomaszów Mazowiecki","-"
"1191","Ujazd","-"
"1192","Żelechlinek","-"
"1193","Ryki","miasto"
"1194","Ryki","obszar wiejski"
"1195","Stężyca","-"
"1196","Świdnik","-"
"1197","Skierbieszów","-"
"1198","Stary Zamość","-"
"1199","Sułów","-"
"1200","Szczebrzeszyn","miasto"
"1201","Zamość","-"
"1202","Przedbórz","obszar wiejski"
"1203","Radomsko","-"
"1204","Wieluń","miasto"
"1205","Kęty","obszar wiejski"
"1206","Osiek","-"
"1207","Boleszkowice","-"
"1208","Dębno","obszar wiejski"
"1209","Myślibórz","obszar wiejski"
"1210","Nowogródek Pomorski","-"
"1211","Szczebrzeszyn","obszar wiejski"
"1212","Zwierzyniec","miasto"
"1213","Zwierzyniec","obszar wiejski"
"1214","Biała Podlaska","-"
"1215","Chełm","-"
"1216","Wielgomłyny","-"
"1217","Żytno","-"
"1218","Rawa Mazowiecka","gm. miejska"
"1219","Biała Rawska","miasto"
"1220","Tuszyn","miasto"
"1221","Tuszyn","obszar wiejski"
"1222","Białaczów","-"
"1223","Drzewica","miasto"
"1224","Milejów","-"
"1225","Puchaczów","-"
"1226","Spiczyn","-"
"1227","Łuków","gm. miejska"
"1228","Lublin","-"
"1229","Zamość","-"
"1230","Borowie","-"
"1231","Biała Rawska","obszar wiejski"
"1232","Cielądz","-"
"1233","Chodel","-"
"1234","Rejowiec","-"
"1235","Józefów nad Wisłą","-"
"1236","Stoczek Łukowski","gm. miejska"
"1237","Adamów","-"
"1238","Krzywda","-"
"1239","Maciejowice","-"
"1240","Miastków Kościelny","-"
"1241","Trojanów","-"
"1242","Żelechów","miasto"
"1243","Rawa Mazowiecka","-"
"1244","Regnów","-"
"1245","Sadkowice","-"
"1246","Karczmiska","-"
"1247","Łaziska","-"
"1248","Opole Lubelskie","miasto"
"1249","Łuków","-"
"1250","Serokomla","-"
"1251","Stanin","-"
"1252","Sokołów Podlaski","gm. miejska"
"1253","Bielany","-"
"1254","Ceranów","-"
"1255","Jabłonna Lacka","-"
"1256","Limanowa","-"
"1257","Łukowica","-"
"1258","Nieporęt","-"
"1259","Serock","miasto"
"1260","Serock","obszar wiejski"
"1261","Wieliszew","-"
"1262","Góra Kalwaria","miasto"
"1263","Góra Kalwaria","obszar wiejski"
"1264","Konstancin-Jeziorna","miasto"
"1265","Konstancin-Jeziorna","obszar wiejski"
"1266","Kosów Lacki","miasto"
"1267","Repki","-"
"1268","Sabnie","-"
"1269","Mszana Dolna","-"
"1270","Niedźwiedź","-"
"1271","Słopnice","-"
"1272","Tymbark","-"
"1273","Ciepielów","-"
"1274","Lipsko","miasto"
"1275","Lipsko","obszar wiejski"
"1276","Rzeczniów","-"
"1277","Lesznowola","-"
"1278","Piaseczno","miasto"
"1279","Piaseczno","obszar wiejski"
"1280","Sokołów Podlaski","-"
"1281","Sterdyń","-"
"1282","Charsznica","-"
"1283","Gołcza","-"
"1284","Kozłów","-"
"1285","Sienno","-"
"1286","Łosice","miasto"
"1287","Łosice","obszar wiejski"
"1288","Prażmów","-"
"1289","Bielsk","-"
"1290","Bodzanów","-"
"1291","Chlewiska","-"
"1292","Jastrząb","-"
"1293","Mirów","-"
"1294","Książ Wielki","-"
"1295","Miechów","miasto"
"1296","Miechów","obszar wiejski"
"1297","Platerów","-"
"1298","Maków Mazowiecki","-"
"1299","Czerwonka","-"
"1300","Bulkowo","-"
"1301","Drobin","miasto"
"1302","Drobin","obszar wiejski"
"1303","Gąbin","miasto"
"1304","Kosów Lacki","obszar wiejski"
"1305","Klembów","-"
"1306","Poświętne","-"
"1307","Racławice","-"
"1308","Słaboszów","-"
"1309","Dobczyce","miasto"
"1310","Dobczyce","obszar wiejski"
"1311","Karniewo","-"
"1312","Krasnosielc","-"
"1313","Młynarze","-"
"1314","Gąbin","obszar wiejski"
"1315","Łąck","-"
"1316","Mała Wieś","-"
"1317","Leszno","-"
"1318","Łomianki","miasto"
"1319","Ożarów Mazowiecki","miasto"
"1320","Ożarów Mazowiecki","obszar wiejski"
"1321","Stare Babice","-"
"1322","Lubień","-"
"1323","Myślenice","miasto"
"1324","Myślenice","obszar wiejski"
"1325","Płoniawy-Bramura","-"
"1326","Różan","miasto"
"1327","Tarczyn","obszar wiejski"
"1328","Radzanowo","-"
"1329","Słubice","-"
"1330","Słupno","-"
"1331","Stara Biała","-"
"1332","Grębków","-"
"1333","Korytnica","-"
"1334","Liw","-"
"1335","Łochów","miasto"
"1336","Łochów","obszar wiejski"
"1337","Pcim","-"
"1338","Raciechowice","-"
"1339","Siepraw","-"
"1340","Sułkowice","miasto"
"1341","Różan","obszar wiejski"
"1342","Rzewnie","-"
"1343","Sypniewo","-"
"1344","Staroźreby","-"
"1345","Wyszogród","miasto"
"1346","Wyszogród","obszar wiejski"
"1347","Płońsk","gm. miejska"
"1348","Raciąż","gm. miejska"
"1349","Radzymin","miasto"
"1350","Radzymin","obszar wiejski"
"1351","Sułkowice","obszar wiejski"
"1352","Tokarnia","-"
"1353","Wiśniowa","-"
"1354","Grybów","gm. miejska"
"1355","Szelków","-"
"1356","Mińsk Mazowiecki","gm. miejska"
"1357","Cegłów","-"
"1358","Dębe Wielkie","-"
"1359","Baboszewo","-"
"1360","Czerwińsk nad Wisłą","-"
"1361","Dzierzążnia","-"
"1362","Magnuszew","-"
"1363","Sulejówek","-"
"1364","Tłuszcz","obszar wiejski"
"1365","Wołomin","miasto"
"1366","Chełmiec","-"
"1367","Gródek nad Dunajcem","-"
"1368","Dobre","-"
"1369","Jakubów","-"
"1370","Kałuszyn","miasto"
"1371","Joniec","-"
"1372","Naruszewo","-"
"1373","Nowe Miasto","-"
"1374","Raciąż","-"
"1375","Miedzna","-"
"1376","Sadowne","-"
"1377","Grybów","-"
"1378","Kamionka Wielka","-"
"1379","Korzenna","-"
"1380","Kałuszyn","obszar wiejski"
"1381","Latowicz","-"
"1382","Płońsk","-"
"1383","Sochocin","-"
"1384","Załuski","-"
"1385","Orońsko","-"
"1386","Szydłowiec","miasto"
"1387","Szydłowiec","obszar wiejski"
"1388","Krynica-Zdrój","miasto"
"1389","Krynica-Zdrój","obszar wiejski"
"1390","Łabowa","-"
"1391","Mińsk Mazowiecki","-"
"1392","Mrozy","-"
"1393","Siennica","-"
"1394","Piastów","-"
"1395","Pruszków","-"
"1396","Brwinów","miasto"
"1397","Brwinów","obszar wiejski"
"1398","Mordy","miasto"
"1399","Wołomin","obszar wiejski"
"1400","Brańszczyk","-"
"1401","Długosiodło","-"
"1402","Łącko","-"
"1403","Łososina Dolna","-"
"1404","Muszyna","miasto"
"1405","Stanisławów","-"
"1406","Mława","-"
"1407","Dzierzgowo","-"
"1408","Mordy","obszar wiejski"
"1409","Paprotnia","-"
"1410","Przesmyki","-"
"1411","Siedlce","-"
"1412","Stoczek","-"
"1413","Wierzbno","-"
"1414","Kobyłka","-"
"1415","Marki","-"
"1416","Ząbki","-"
"1417","Muszyna","obszar wiejski"
"1418","Nawojowa","-"
"1419","Piwniczna-Zdrój","miasto"
"1420","Lipowiec Kościelny","-"
"1421","Radzanów","-"
"1422","Strzegowo","-"
"1423","Skórzec","-"
"1424","Suchożebry","-"
"1425","Sierpc","gm. miejska"
"1426","Gozdowo","-"
"1427","Błonie","miasto"
"1428","Błonie","obszar wiejski"
"1429","Izabelin","-"
"1430","Kampinos","-"
"1431","Piwniczna-Zdrój","obszar wiejski"
"1432","Podegrodzie","-"
"1433","Rytro","-"
"1434","Stary Sącz","miasto"
"1435","Stupsk","-"
"1436","Szreńsk","-"
"1437","Szydłowo","-"
"1438","Zawidz","-"
"1439","Sochaczew","-"
"1440","Brochów","-"
"1441","Rząśnik","-"
"1442","Somianka","-"
"1443","Węgrów","-"
"1444","Stary Sącz","obszar wiejski"
"1445","Nowy Targ","gm. miejska"
"1446","Czarny Dunajec","-"
"1447","Osieck","-"
"1448","Sobienie-Jeziory","-"
"1449","Wiązowna","-"
"1450","Młodzieszyn","-"
"1451","Sochaczew","-"
"1452","Teresin","-"
"1453","Zielonka","-"
"1454","Dąbrówka","-"
"1455","Jadów","-"
"1456","Czorsztyn","-"
"1457","Jabłonka","-"
"1458","Krościenko nad Dunajcem","-"
"1459","Sulejów","obszar wiejski"
"1460","Bolimów","-"
"1461","Głuchów","-"
"1462","Godzianów","-"
"1463","Gózd","-"
"1464","Iłża","miasto"
"1465","Iłża","obszar wiejski"
"1466","Jastrzębia","-"
"1467","Wąsewo","-"
"1468","Zaręby Kościelne","-"
"1469","Józefów","-"
"1470","Otwock","-"
"1471","Brzeźnio","-"
"1472","Burzenin","-"
"1473","Goszczanów","-"
"1474","Kowiesy","-"
"1475","Piątek","-"
"1476","Lipnica Wielka","-"
"1477","Łapsze Niżne","-"
"1478","Jedlińsk","-"
"1479","Jedlnia-Letnisko","-"
"1480","Celestynów","-"
"1481","Karczew","miasto"
"1482","Karczew","obszar wiejski"
"1483","Bolesław","-"
"1484","Dąbrowa Tarnowska","miasto"
"1485","Klonowa","-"
"1486","Sieradz","-"
"1487","Warta","miasto"
"1488","Warta","obszar wiejski"
"1489","Szczawnica","miasto"
"1490","Nowy Targ","-"
"1491","Ochotnica Dolna","-"
"1492","Pionki","-"
"1493","Przytyk","-"
"1494","Skaryszew","miasto"
"1495","Dąbrowa Tarnowska","obszar wiejski"
"1496","Gręboszów","-"
"1497","Mędrzechów","-"
"1498","Olesno","-"
"1499","Wróblew","-"
"1500","Złoczew","miasto"
"1501","Złoczew","obszar wiejski"
"1502","Bełchatów","gm. miejska"
"1503","Bełchatów","-"
"1504","Raba Wyżna","-"
"1505","Rabka-Zdrój","miasto"
"1506","Rabka-Zdrój","obszar wiejski"
"1507","Spytkowice","-"
"1508","Szaflary","-"
"1509","Skaryszew","obszar wiejski"
"1510","Wierzbica","-"
"1511","Wolanów","-"
"1512","Radgoszcz","-"
"1513","Gorlice","gm. miejska"
"1514","Biecz","miasto"
"1515","Biecz","obszar wiejski"
"1516","Drużbice","-"
"1517","Kleszczów","-"
"1518","Bukowno","-"
"1519","Bolesław","-"
"1520","Klucze","-"
"1521","Olkusz","miasto"
"1522","Zakrzew","-"
"1523","Korczew","-"
"1524","Kotuń","-"
"1525","Gorlice","-"
"1526","Limanowa","gm. miejska"
"1527","Mszana Dolna","gm. miejska"
"1528","Dobra","-"
"1529","Kluki","-"
"1530","Rusiec","-"
"1531","Olkusz","obszar wiejski"
"1532","Trzyciąż","-"
"1533","Wolbrom","miasto"
"1534","Mokobody","-"
"1535","Wieczfnia Kościelna","-"
"1536","Głowaczów","-"
"1537","Czernichów","-"
"1538","Igołomia-Wawrzeńczyce","-"
"1539","Iwanowice","-"
"1540","Jerzmanowice-Przeginia","-"
"1541","Szczerców","-"
"1542","Zelów","miasto"
"1543","Zelów","obszar wiejski"
"1544","Kutno","gm. miejska"
"1545","Wolbrom","obszar wiejski"
"1546","Oświęcim","gm. miejska"
"1547","Brzeszcze","miasto"
"1548","Kozienice","obszar wiejski"
"1549","Kowala","-"
"1550","Wiśniewo","-"
"1551","Skała","obszar wiejski"
"1552","Skawina","miasto"
"1553","Skawina","obszar wiejski"
"1554","Słomniki","miasto"
"1555","Bedlno","-"
"1556","Krośniewice","miasto"
"1557","Krośniewice","obszar wiejski"
"1558","Krzyżanów","-"
"1559","Wolbórz","miasto"
"1560","Brzeszcze","obszar wiejski"
"1561","Chełmek","miasto"
"1562","Chełmek","obszar wiejski"
"1563","Kęty","miasto"
"1564","Łomianki","obszar wiejski"
"1565","Michałowice","-"
"1566","Nowy Dwór Mazowiecki","-"
"1567","Czosnów","-"
"1568","Leoncin","-"
"1569","Nasielsk","miasto"
"1570","Jodłownik","-"
"1571","Kamienica","-"
"1572","Laskowa","-"
"1573","Kutno","-"
"1574","Oporów","-"
"1575","Strzelce","-"
"1576","Żychlin","miasto"
"1577","Nadarzyn","-"
"1578","Raszyn","-"
"1579","Przasnysz","gm. miejska"
"1580","Chorzele","miasto"
"1581","Chorzele","obszar wiejski"
"1582","Nasielsk","obszar wiejski"
"1583","Pomiechówek","-"
"1584","Zakroczym","miasto"
"1585","Zakroczym","obszar wiejski"
"1586","Baranowo","-"
"1587","Kocmyrzów-Luborzyca","-"
"1588","Krzeszowice","miasto"
"1589","Krzeszowice","obszar wiejski"
"1590","Bobowa","miasto"
"1591","Żychlin","obszar wiejski"
"1592","Buczek","-"
"1593","Łask","miasto"
"1594","Czernice Borowe","-"
"1595","Jednorożec","-"
"1596","Czarnia","-"
"1597","Czerwin","-"
"1598","Słomniki","obszar wiejski"
"1599","Sułoszowa","-"
"1600","Świątniki Górne","miasto"
"1601","Świątniki Górne","obszar wiejski"
"1602","Łask","obszar wiejski"
"1603","Sędziejowice","-"
"1604","Krasne","-"
"1605","Krzynowłoga Mała","-"
"1606","Goworowo","-"
"1607","Kadzidło","-"
"1608","Lelis","-"
"1609","Lipinki","-"
"1610","Łużna","-"
"1611","Moszczenica","-"
"1612","Ropa","-"
"1613","Widawa","-"
"1614","Wodzierady","-"
"1615","Łęczyca","gm. miejska"
"1616","Daszyna","-"
"1617","Przasnysz","-"
"1618","Borkowice","-"
"1619","Łyse","-"
"1620","Myszyniec","miasto"
"1621","Myszyniec","obszar wiejski"
"1622","Liszki","-"
"1623","Michałowice","-"
"1624","Mogilany","-"
"1625","Skała","miasto"
"1626","Góra Świętej Małgorzaty","-"
"1627","Grabów","-"
"1628","Łęczyca","-"
"1629","Klwów","-"
"1630","Potworów","-"
"1631","Przysucha","miasto"
"1632","Przysucha","obszar wiejski"
"1633","Wieniawa","-"
"1634","Olszewo-Borki","-"
"1635","Rzekuń","-"
"1636","Wielka Wieś","-"
"1637","Zabierzów","-"
"1638","Zielonki","-"
"1639","Siemkowice","-"
"1640","Strzelce Wielkie","-"
"1641","Sulmierzyce","-"
"1642","Gzy","-"
"1643","Obryte","-"
"1644","Troszyn","-"
"1645","Ostrów Mazowiecka","gm. miejska"
"1646","Andrzejewo","-"
"1647","Boguty-Pianki","-"
"1648","Sękowa","-"
"1649","Uście Gorlickie","-"
"1650","Aleksandrów","-"
"1651","Czarnocin","-"
"1652","Gorzkowice","-"
"1653","Pokrzywnica","-"
"1654","Pułtusk","miasto"
"1655","Pułtusk","obszar wiejski"
"1656","Brok","miasto"
"1657","Brok","obszar wiejski"
"1658","Małkinia Górna","-"
"1659","Lipce Reymontowskie","-"
"1660","Rzgów","miasto"
"1661","Maków","-"
"1662","Nowy Kawęczyn","-"
"1663","Grabica","-"
"1664","Łęki Szlacheckie","-"
"1665","Moszczenica","-"
"1666","Świercze","-"
"1667","Winnica","-"
"1668","Zatory","-"
"1669","Pionki","gm. miejska"
"1670","Nur","-"
"1671","Ostrów Mazowiecka","-"
"1672","Stary Lubotyń","-"
"1673","Szulborze Wielkie","-"
"1674","Skierniewice","-"
"1675","Błaszki","obszar wiejski"
"1676","Brąszewice","-"
"1677","Ręczno","-"
"1678","Rozprza","-"
"1679","Sulejów","miasto"
"1680","Głogów Małopolski","obszar wiejski"
"1681","Hyżne","-"
"1682","Rudnik","-"
"1683","Rudziniec","-"
"1684","Rychtal","-"
"1685","Kolbuszowa","obszar wiejski"
"1686","Majdan Królewski","-"
"1687","Lelów","-"
"1688","Mstów","-"
"1689","Olsztyn","-"
"1690","Połaniec","obszar wiejski"
"1691","Olszanica","-"
"1692","Skarbimierz","-"
"1693","Skoroszyce","-"
"1694","Niwiska","-"
"1695","Raniżów","-"
"1696","Dzikowiec","-"
"1697","Dukla","miasto"
"1698","Poczesna","-"
"1699","Przyrów","-"
"1700","Rędziny","-"
"1701","Starcza","-"
"1702","Knurów","-"
"1703","Solina","-"
"1704","Mielec","gm. miejska"
"1705","Nowa Dęba","miasto"
"1706","Sośnicowice","obszar wiejski"
"1707","Strzelce Opolskie","miasto"
"1708","Strzelce Opolskie","obszar wiejski"
"1709","Strzeleczki","-"
"1710","Chorkówka","-"
"1711","Dukla","obszar wiejski"
"1712","Baligród","-"
"1713","Pyskowice","-"
"1714","Gierałtowice","-"
"1715","Pilchowice","-"
"1716","Sośnicowice","miasto"
"1717","Toszek","miasto"
"1718","Augustów","gm. miejska"
"1719","Augustów","-"
"1720","Bargłów Kościelny","-"
"1721","Lipsk","miasto"
"1722","Świerczów","-"
"1723","Tarnów Opolski","-"
"1724","Toszek","obszar wiejski"
"1725","Cisna","-"
"1726","Lesko","miasto"
"1727","Lesko","obszar wiejski"
"1728","Iwonicz-Zdrój","miasto"
"1729","Kłobuck","miasto"
"1730","Kłobuck","obszar wiejski"
"1731","Opatów","-"
"1732","Panki","-"
"1733","Boguchwała","miasto"
"1734","Suchowola","obszar wiejski"
"1735","Szudziałowo","-"
"1736","Trzcinica","-"
"1737","Tułowice","-"
"1738","Turawa","-"
"1739","Ujazd","miasto"
"1740","Iwonicz-Zdrój","obszar wiejski"
"1741","Jedlicze","miasto"
"1742","Jedlicze","obszar wiejski"
"1743","Moskorzew","-"
"1744","Wręczyca Wielka","-"
"1745","Lubliniec","-"
"1746","Boronów","-"
"1747","Czeremcha","-"
"1748","Czyże","-"
"1749","Dubicze Cerkiewne","-"
"1750","Ujazd","obszar wiejski"
"1751","Walce","-"
"1752","Wielowieś","-"
"1753","Wołczyn","miasto"
"1754","Radków","-"
"1755","Secemin","-"
"1756","Herby","-"
"1757","Kochanowice","-"
"1758","Koszęcin","-"
"1759","Mały Płock","-"
"1760","Stawiski","miasto"
"1761","Stawiski","obszar wiejski"
"1762","Wołczyn","obszar wiejski"
"1763","Zawadzkie","miasto"
"1764","Zawadzkie","obszar wiejski"
"1765","Czechowice-Dziedzice","obszar wiejski"
"1766","Będzin","-"
"1767","Czeladź","-"
"1768","Wojkowice","-"
"1769","Bobrowniki","-"
"1770","Woźniki","miasto"
"1771","Woźniki","obszar wiejski"
"1772","Łaziska Górne","-"
"1773","Mikołów","-"
"1774","Bakałarzewo","-"
"1775","Filipów","-"
"1776","Jeleniewo","-"
"1777","Zdzieszowice","miasto"
"1778","Zdzieszowice","obszar wiejski"
"1779","Zębowice","-"
"1780","Mierzęcice","-"
"1781","Psary","-"
"1782","Siewierz","miasto"
"1783","Orzesze","-"
"1784","Ornontowice","-"
"1785","Wyry","-"
"1786","Myszków","-"
"1787","Hajnówka","-"
"1788","Kleszczele","miasto"
"1789","Kleszczele","obszar wiejski"
"1790","Kolno","gm. miejska"
"1791","Czarna","-"
"1792","Lutowiska","-"
"1793","Ustrzyki Dolne","miasto"
"1794","Ustrzyki Dolne","obszar wiejski"
"1795","Brzozów","miasto"
"1796","Brzozów","obszar wiejski"
"1797","Siewierz","obszar wiejski"
"1798","Szczyrk","-"
"1799","Buczkowice","-"
"1800","Czechowice-Dziedzice","miasto"
"1801","Koziegłowy","miasto"
"1802","Koziegłowy","obszar wiejski"
"1803","Niegowa","-"
"1804","Jedwabne","miasto"
"1805","Dąbrowa Białostocka","obszar wiejski"
"1806","Domaradz","-"
"1807","Dydnia","-"
"1808","Haczów","-"
"1809","Jasienica Rosielna","-"
"1810","Bestwina","-"
"1811","Jasienica","-"
"1812","Jaworze","-"
"1813","Wilkowice","-"
"1814","Poraj","-"
"1815","Żarki","miasto"
"1816","Żarki","obszar wiejski"
"1817","Lipsk","obszar wiejski"
"1818","Nowinka","-"
"1819","Płaska","-"
"1820","Sztabin","-"
"1821","Szczuczyn","miasto"
"1822","Nozdrzec","-"
"1823","Dębica","gm. miejska"
"1824","Dębica","-"
"1825","Cieszyn","-"
"1826","Ustroń","-"
"1827","Wisła","-"
"1828","Brenna","-"
"1829","Kobiór","-"
"1830","Pawłowice","-"
"1831","Pszczyna","miasto"
"1832","Pszczyna","obszar wiejski"
"1833","Suszec","-"
"1834","Narew","-"
"1835","Narewka","-"
"1836","Kolno","-"
"1837","Pilzno","miasto"
"1838","Żyraków","-"
"1839","Jarosław","-"
"1840","Radymno","gm. miejska"
"1841","Chłopice","-"
"1842","Chybie","-"
"1843","Dębowiec","-"
"1844","Goleszów","-"
"1845","Hażlach","-"
"1846","Racibórz","-"
"1847","Kornowac","-"
"1848","Krzyżanowice","-"
"1849","Nędza","-"
"1850","Janów","-"
"1851","Korycin","-"
