"Nazwa" "Osiagniecia_naukowe_i_tworcze" "Potencjal_naukowy" "Materialne_efekty_dzialalnosci_naukowej" "Pozostale_efekty_dzialalnosci_naukowej" "Ocena_ostateczna" "Kategoria" "nazwy"
"Uniwersytet Wroclawski; Wydzial Biotechnologii" "Uniwersytet Wroclawski; Wydzial Biotechnologii" 87.98 457 8.25 90 70.5 "+A" "Uniwersytet Wroclawski; Wydzial Biotechnologii"
"Panstwowa Wyzsza Szkola Informatyki i Przedsiebiorczosci w Lomzy" "Panstwowa Wyzsza Szkola Informatyki i Przedsiebiorczosci w Lomzy" 33.5 89 0.55 30 -33.17 "B" "Panstwowa Wyzsza Szkola Informatyki i Przedsiebiorczosci w Lomzy"
"Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Nauk o Sporcie" "Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Nauk o Sporcie" 33.03 231 0 45 -36.54 "B" "Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Nauk o Sporcie"
"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Wydzial Turystyki i Rekreacji" "Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Wydzial Turystyki i Rekreacji" 28.42 255 0.72 55 -39.36 "B" "Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Wydzial Turystyki i Rekreacji"
"Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Wychowania Fizycznego i Sportu w Bialej Podlaskiej" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Wychowania Fizycznego i Sportu w Bialej Podlaskiej" 28.77 336 0.3 61.5 -41.52 "B" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Wychowania Fizycznego i Sportu w Bialej Podlaskiej"
"Akademia Wychowania Fizycznego i Sportu im. Jedrzeja Sniadeckiego w Gdansku; Wydzial Turystyki i Rekreacji" "Akademia Wychowania Fizycznego i Sportu im. Jedrzeja Sniadeckiego w Gdansku; Wydzial Turystyki i Rekreacji" 25.62 236 0.69 60 -45.5 "B" "Akademia Wychowania Fizycznego i Sportu im. Jedrzeja Sniadeckiego w Gdansku; Wydzial Turystyki i Rekreacji"
"Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Wychowania Fizycznego" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Wychowania Fizycznego" 22.86 480 0.9 65 -45.67 "B" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Wychowania Fizycznego"
"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Zamiejscowy Wydzial Kultury Fizycznej w Gorzowie Wielkopolskim" "Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Zamiejscowy Wydzial Kultury Fizycznej w Gorzowie Wielkopolskim" 22.24 291 2.94 25 -49.21 "B" "Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Zamiejscowy Wydzial Kultury Fizycznej w Gorzowie Wielkopolskim"
"Wyzsza Szkola Zawodowa Kosmetyki i Pielegnacji Zdrowia w Warszawie" "Wyzsza Szkola Zawodowa Kosmetyki i Pielegnacji Zdrowia w Warszawie" 15.2 202 21.47 42 -51.84 "C" "Wyzsza Szkola Zawodowa Kosmetyki i Pielegnacji Zdrowia w Warszawie"
"Politechnika Opolska; Wydzial Wychowania Fizycznego i Fizjoterapii" "Politechnika Opolska; Wydzial Wychowania Fizycznego i Fizjoterapii" 26.65 302 0.21 40 -55.32 "C" "Politechnika Opolska; Wydzial Wychowania Fizycznego i Fizjoterapii"
"Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Wychowania Fizycznego i Sportu" "Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Wychowania Fizycznego i Sportu" 23.52 550 0.7 13 -57.59 "C" "Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Wychowania Fizycznego i Sportu"
"Akademia Techniczno-Humanistyczna w Bielsku-Bialej; Wydzial Nauk o Zdrowiu" "Akademia Techniczno-Humanistyczna w Bielsku-Bialej; Wydzial Nauk o Zdrowiu" 19.86 40 0.21 60 -63.54 "C" "Akademia Techniczno-Humanistyczna w Bielsku-Bialej; Wydzial Nauk o Zdrowiu"
"Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Turystyki i Rekreacji" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Turystyki i Rekreacji" 20.36 31 0 52.5 -66.83 "C" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Turystyki i Rekreacji"
"Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Turystyki i Rekreacji" "Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Turystyki i Rekreacji" 22.44 269 0 35 -66.84 "C" "Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Turystyki i Rekreacji"
"Wyzsza Szkola Administracji w Bielsku-Bialej; Wydzial Fizjoterapii" "Wyzsza Szkola Administracji w Bielsku-Bialej; Wydzial Fizjoterapii" 25.65 1 0 0 -67.28 "C" "Wyzsza Szkola Administracji w Bielsku-Bialej; Wydzial Fizjoterapii"
"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w Radomiu; Wydzial Nauk o Zdrowiu i Kultury Fizycznej" "Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w Radomiu; Wydzial Nauk o Zdrowiu i Kultury Fizycznej" 23.51 25 0 0 -72.17 "C" "Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w Radomiu; Wydzial Nauk o Zdrowiu i Kultury Fizycznej"
"ALMAMER Szkola Wyzsza z siedziba w Warszawie" "ALMAMER Szkola Wyzsza z siedziba w Warszawie" 19.6 42 0.06 32.5 -72.75 "C" "ALMAMER Szkola Wyzsza z siedziba w Warszawie"
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Kultury Fizycznej. Zdrowia i Turystyki" "Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Kultury Fizycznej. Zdrowia i Turystyki" 12.12 257 0.05 56 -74.97 "C" "Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Kultury Fizycznej. Zdrowia i Turystyki"
"Wyzsza Szkola Zarzadzania w Gdansku; Wydzial Fizjoterapii i Nauk o Zdrowiu" "Wyzsza Szkola Zarzadzania w Gdansku; Wydzial Fizjoterapii i Nauk o Zdrowiu" 1.11 2 0.89 0 -83.35 "C" "Wyzsza Szkola Zarzadzania w Gdansku; Wydzial Fizjoterapii i Nauk o Zdrowiu"
"Panstwowa Szkola Wyzsza im. Papieza Jana Pawla II w Bialej Podlaskiej" "Panstwowa Szkola Wyzsza im. Papieza Jana Pawla II w Bialej Podlaskiej" 8.66 271 0 15 -87.25 "C" "Panstwowa Szkola Wyzsza im. Papieza Jana Pawla II w Bialej Podlaskiej"
"Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Nauk o Zywnosci" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Nauk o Zywnosci" 76.57 687 8.64 85 86.64 "A" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Nauk o Zywnosci"
"Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Biologii i Hodowli Zwierzat" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Biologii i Hodowli Zwierzat" 70.4 451 4.04 90 72.74 "A" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Biologii i Hodowli Zwierzat"
"Politechnika Lódzka; Wydzial Biotechnologii i Nauk o Zywnosci" "Politechnika Lódzka; Wydzial Biotechnologii i Nauk o Zywnosci" 61.78 579 4.17 100 66.08 "A" "Politechnika Lódzka; Wydzial Biotechnologii i Nauk o Zywnosci"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Hodowli i Biologii Zwierzat" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Hodowli i Biologii Zwierzat" 74.55 454 3.12 62.5 64.69 "A" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Hodowli i Biologii Zwierzat"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk o Srodowisku" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk o Srodowisku" 58.58 472 13.27 75 61.41 "A" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk o Srodowisku"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Medycyny Weterynaryjnej" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Medycyny Weterynaryjnej" 60.77 509 2.92 87.5 56.5 "A" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Medycyny Weterynaryjnej"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Nauk o Zywnosci i Zywieniu" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Nauk o Zywnosci i Zywieniu" 52.14 570 8.55 100 54.73 "A" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Nauk o Zywnosci i Zywieniu"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Medycyny Weterynaryjnej" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Medycyny Weterynaryjnej" 58.3 520 3.67 75 51.94 "A" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Medycyny Weterynaryjnej"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zwierzetach" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zwierzetach" 53.37 472 4.86 89.5 50.11 "A" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zwierzetach"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Bioinzynierii Zwierzat" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Bioinzynierii Zwierzat" 52.64 520 9.26 75 49.02 "A" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Bioinzynierii Zwierzat"
"Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Medycyny Weterynaryjnej" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Medycyny Weterynaryjnej" 55.84 452 2.38 87.5 45.11 "A" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Medycyny Weterynaryjnej"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Rolnictwa i Biologii" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Rolnictwa i Biologii" 56.83 521 2.51 72.5 43.7 "A" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Rolnictwa i Biologii"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Technologii Zywnosci" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Technologii Zywnosci" 56.65 536 2.07 70 40.99 "A" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Technologii Zywnosci"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Nauk o Zywnosci i Biotechnologii" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Nauk o Zywnosci i Biotechnologii" 54.58 315 1.31 72.5 28.94 "A" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Nauk o Zywnosci i Biotechnologii"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauki o Zywnosci" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauki o Zywnosci" 45.99 507 11.7 75 24.9 "A" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauki o Zywnosci"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zywnosci" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zywnosci" 48.49 491 1.58 97.5 21.73 "A" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zywnosci"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Technologii Drewna" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Technologii Drewna" 48.82 449 3.3 52.5 19.34 "A" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Technologii Drewna"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Ogrodnictwa. Biotechnologii i Architektury Krajobrazu" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Ogrodnictwa. Biotechnologii i Architektury Krajobrazu" 42.07 575 5.26 97.5 12.03 "B" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Ogrodnictwa. Biotechnologii i Architektury Krajobrazu"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Ksztaltowania Srodowiska i Rolnictwa" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Ksztaltowania Srodowiska i Rolnictwa" 42.37 738 2.49 97.5 5.91 "B" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Ksztaltowania Srodowiska i Rolnictwa"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Hodowli i Biologii Zwierzat" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Hodowli i Biologii Zwierzat" 45.1 416 2.15 80 4.53 "B" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Hodowli i Biologii Zwierzat"
"Uniwersytet Rzeszowski; Wydzial Biologiczno-Rolniczy" "Uniwersytet Rzeszowski; Wydzial Biologiczno-Rolniczy" 42.56 375 12.56 52.5 2.78 "B" "Uniwersytet Rzeszowski; Wydzial Biologiczno-Rolniczy"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zywieniu Czlowieka i Konsumpcji" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zywieniu Czlowieka i Konsumpcji" 39.37 524 4.69 92.5 2.31 "B" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk o Zywieniu Czlowieka i Konsumpcji"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Rolniczo-Ekonomiczny" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Rolniczo-Ekonomiczny" 46.62 604 1.29 47.5 1.23 "B" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Rolniczo-Ekonomiczny"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Technologii Drewna" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Technologii Drewna" 47.64 380 0.9 57.5 0.88 "B" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Technologii Drewna"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Lesny" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Lesny" 37.57 564 5.8 85 -1.43 "B" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Lesny"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Medycyny Weterynaryjnej" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Medycyny Weterynaryjnej" 41.27 286 16.02 45 -2.48 "B" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Medycyny Weterynaryjnej"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Rolnictwa i Bioinzynierii" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Rolnictwa i Bioinzynierii" 37.67 666 3.81 80 -4.94 "B" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Rolnictwa i Bioinzynierii"
"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Hodowli i Biologii Zwierzat" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Hodowli i Biologii Zwierzat" 42.99 399 1.37 82.5 -7.54 "B" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Hodowli i Biologii Zwierzat"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Melioracji i Inzynierii Srodowiska" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Melioracji i Inzynierii Srodowiska" 35.79 438 5.61 92.5 -8.39 "B" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Melioracji i Inzynierii Srodowiska"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Nauk o Zywnosci i Rybactwa" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Nauk o Zywnosci i Rybactwa" 38.67 595 3.12 60 -11.93 "B" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Nauk o Zywnosci i Rybactwa"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Biotechnologii i Hodowli Zwierzat" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Biotechnologii i Hodowli Zwierzat" 45.51 345 0.3 35 -15.84 "B" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Biotechnologii i Hodowli Zwierzat"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Ogrodniczy" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Ogrodniczy" 39.03 483 1.94 70 -16.91 "B" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Ogrodniczy"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Lesny" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Lesny" 38.37 472 2.24 70 -17.27 "B" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Lesny"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Lesny" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Lesny" 37.3 435 1.79 87.5 -17.96 "B" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Lesny"
"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Rolnictwa i Biotechnologii" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Rolnictwa i Biotechnologii" 37.46 503 1.91 75 -19.44 "B" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Rolnictwa i Biotechnologii"
"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzial Przyrodniczy" "Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzial Przyrodniczy" 40.6 614 0.22 62.5 -20.56 "B" "Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzial Przyrodniczy"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Inzynierii Produkcji" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Inzynierii Produkcji" 37.34 516 0.5 92.5 -22.18 "B" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Inzynierii Produkcji"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Biologii i Hodowli Zwierzat" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Biologii i Hodowli Zwierzat" 37.74 517 0.78 65 -27.54 "B" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Biologii i Hodowli Zwierzat"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Ogrodnictwa i Architektury Krajobrazu" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Ogrodnictwa i Architektury Krajobrazu" 38.45 467 0.97 55 -28.17 "B" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Ogrodnictwa i Architektury Krajobrazu"
"Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Przyrodniczo-Technologiczny" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Przyrodniczo-Technologiczny" 31.79 807 1.76 97.5 -29.71 "B" "Uniwersytet Przyrodniczy we Wroclawiu; Wydzial Przyrodniczo-Technologiczny"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Inzynierii Produkcji" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Inzynierii Produkcji" 36.5 405 1.31 42.5 -36.06 "B" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Inzynierii Produkcji"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Ksztaltowania Srodowiska i Rolnictwa" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Ksztaltowania Srodowiska i Rolnictwa" 32.43 734 1.24 32.5 -45.68 "B" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Ksztaltowania Srodowiska i Rolnictwa"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Agrobioinzynierii" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Agrobioinzynierii" 28.75 495 0.69 100 -50.52 "B" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Agrobioinzynierii"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Technicznych" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Technicznych" 26.74 501 4.79 45 -51.13 "B" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Technicznych"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Inzynierii Produkcji i Energetyki" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Inzynierii Produkcji i Energetyki" 24.99 466 2.24 100 -52.43 "B" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Inzynierii Produkcji i Energetyki"
"Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Inzynierii Srodowiska i Geodezji" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Inzynierii Srodowiska i Geodezji" 27.53 520 2.41 65 -52.86 "B" "Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie; Wydzial Inzynierii Srodowiska i Geodezji"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Ogrodnictwa i Architektury Krajobrazu" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Ogrodnictwa i Architektury Krajobrazu" 33 443 0.38 30 -52.88 "B" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Ogrodnictwa i Architektury Krajobrazu"
"Politechnika Bialostocka; Zamiejscowy Wydzial Lesny w Hajnówce" "Politechnika Bialostocka; Zamiejscowy Wydzial Lesny w Hajnówce" 19.54 65 8.66 50 -61.79 "B" "Politechnika Bialostocka; Zamiejscowy Wydzial Lesny w Hajnówce"
"Uniwersytet Przyrodniczy w Lublinie; Wydzial Nauk Rolniczych" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Nauk Rolniczych" 27.69 70 0 47.5 -73.75 "C" "Uniwersytet Przyrodniczy w Lublinie; Wydzial Nauk Rolniczych"
"Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Ekologii" "Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Ekologii" 21.76 68 0 25 -87.38 "C" "Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Ekologii"
"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Nauk Geograficznych i Geologicznych" "Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Nauk Geograficznych i Geologicznych" 59.97 714 2.69 90 70.13 "A" "Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Nauk Geograficznych i Geologicznych"
"Uniwersytet Warszawski; Wydzial Geologii" "Uniwersytet Warszawski; Wydzial Geologii" 58.04 554 3.04 96 67.57 "A" "Uniwersytet Warszawski; Wydzial Geologii"
"Uniwersytet Slaski w Katowicach; Wydzial Nauk o Ziemi" "Uniwersytet Slaski w Katowicach; Wydzial Nauk o Ziemi" 49.19 714 1.73 96 43.55 "A" "Uniwersytet Slaski w Katowicach; Wydzial Nauk o Ziemi"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Geologii. Geofizyki i Ochrony Srodowiska" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Geologii. Geofizyki i Ochrony Srodowiska" 41.93 750 9.22 88 42.83 "A" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Geologii. Geofizyki i Ochrony Srodowiska"
"Uniwersytet Wroclawski; Wydzial Nauk o Ziemi i Ksztaltowania Srodowiska" "Uniwersytet Wroclawski; Wydzial Nauk o Ziemi i Ksztaltowania Srodowiska" 41.93 554 1.34 84 14.79 "B" "Uniwersytet Wroclawski; Wydzial Nauk o Ziemi i Ksztaltowania Srodowiska"
"Uniwersytet Gdanski; Wydzial Oceanografii i Geografii" "Uniwersytet Gdanski; Wydzial Oceanografii i Geografii" 36.43 551 4.38 90 11.03 "B" "Uniwersytet Gdanski; Wydzial Oceanografii i Geografii"
"Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Nauk o Ziemi i Gospodarki Przestrzennej" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Nauk o Ziemi i Gospodarki Przestrzennej" 31.35 411 7.45 77 -18.17 "B" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Nauk o Ziemi i Gospodarki Przestrzennej"
"Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Nauk o Ziemi" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Nauk o Ziemi" 31.02 411 1.53 82 -39.25 "B" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Nauk o Ziemi"
"Uniwersytet Szczecinski; Wydzial Nauk o Ziemi" "Uniwersytet Szczecinski; Wydzial Nauk o Ziemi" 27.19 390 2.79 71 -42.93 "B" "Uniwersytet Szczecinski; Wydzial Nauk o Ziemi"
"Uniwersytet Warszawski; Wydzial Geografii i Studiów Regionalnych" "Uniwersytet Warszawski; Wydzial Geografii i Studiów Regionalnych" 29.42 461 0.44 79 -50.05 "B" "Uniwersytet Warszawski; Wydzial Geografii i Studiów Regionalnych"
"Uniwersytet Lódzki; Wydzial Nauk Geograficznych" "Uniwersytet Lódzki; Wydzial Nauk Geograficznych" 26.22 530 0.88 75 -54.43 "B" "Uniwersytet Lódzki; Wydzial Nauk Geograficznych"
"Miedzynarodowy Instytut Biologii Molekularnej i Komórkowej" "Miedzynarodowy Instytut Biologii Molekularnej i Komórkowej" 105.59 372 27.05 100 72.32 "+A" "Miedzynarodowy Instytut Biologii Molekularnej i Komórkowej"
"Instytut Biochemii i Biofizyki Polskiej Akademii Nauk" "Instytut Biochemii i Biofizyki Polskiej Akademii Nauk" 92.5 794 33.6 90 60.51 "+A" "Instytut Biochemii i Biofizyki Polskiej Akademii Nauk"
"Instytut Biologii Doswiadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk" "Instytut Biologii Doswiadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk" 89.9 589 16.77 90 51.13 "A" "Instytut Biologii Doswiadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk"
