"Country","Score","Coefficient","Year","Region","nr.Coefficient","group.Coefficient"
"Montenegro",54.3,"Education",2015,"Europe",2.1,"Human capital and research"
"Norway",54.2,"Education",2015,"Europe",2.1,"Human capital and research"
"Poland",53.6,"Education",2015,"Europe",2.1,"Human capital and research"
"Germany",53.5,"Education",2015,"Europe",2.1,"Human capital and research"
"Latvia",52.6,"Education",2015,"Europe",2.1,"Human capital and research"
"Czech Republic",52.5,"Education",2015,"Europe",2.1,"Human capital and research"
"Lithuania",52.4,"Education",2015,"Europe",2.1,"Human capital and research"
"Greece",52.3,"Education",2015,"Europe",2.1,"Human capital and research"
"Luxembourg",51.1,"Education",2015,"Europe",2.1,"Human capital and research"
"Italy",51,"Education",2015,"Europe",2.1,"Human capital and research"
"Hungary",49.8,"Education",2015,"Europe",2.1,"Human capital and research"
"Slovakia",46,"Education",2015,"Europe",2.1,"Human capital and research"
"Bulgaria",43.6,"Education",2015,"Europe",2.1,"Human capital and research"
"Romania",38.6,"Education",2015,"Europe",2.1,"Human capital and research"
"Albania",38,"Education",2015,"Europe",2.1,"Human capital and research"
"Serbia",35.3,"Education",2015,"Europe",2.1,"Human capital and research"
"Greece",58.8,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Austria",57.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Finland",54.1,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"United Kingdom",53,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"France",50.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Belarus",49.9,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Switzerland",49.8,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Sweden",49.2,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Germany",48.2,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Montenegro",47.3,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Russian Federation",47.1,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Denmark",46.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Slovenia",45.6,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Ukraine",45,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Ireland",45,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Portugal",44.8,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Czech Republic",44.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Spain",43,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Luxembourg",42.6,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Iceland",41.2,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Serbia",40.8,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Estonia",40.7,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Belgium",40.2,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Norway",40.1,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Lithuania",39.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Bulgaria",38.7,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Croatia",37.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Netherlands",37.4,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Italy",37.3,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Slovakia",36.2,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Latvia",34.9,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Hungary",33.5,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Poland",32.8,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Romania",32.6,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Malta",32.3,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"TFYR Macedonia",28.9,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Bosnia and Herzegovina",27.6,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Albania",25.7,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Moldova, Republic of",21.4,"Tertiary education",2015,"Europe",2.2,"Human capital and research"
"Denmark",77.9,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Sweden",77.6,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Finland",76.9,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Switzerland",72.4,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Germany",68,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"United Kingdom",63.2,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"France",61.4,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Netherlands",59.5,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Austria",58.3,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Belgium",56.8,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Norway",55.3,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Iceland",48.7,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Ireland",47.7,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Slovenia",40.9,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Portugal",40.8,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Czech Republic",40.5,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Spain",39.8,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Russian Federation",38.5,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Italy",35.6,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Estonia",34.8,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Hungary",29.9,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Luxembourg",28.8,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Greece",26.5,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Lithuania",25.5,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Poland",25.3,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Ukraine",20.4,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Slovakia",17.4,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Belarus",15.8,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Malta",15.1,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Croatia",15.1,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Bulgaria",14.4,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Serbia",14,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Romania",12.1,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Latvia",11.7,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Montenegro",6.2,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Moldova, Republic of",5.7,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"TFYR Macedonia",3,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Bosnia and Herzegovina",2.6,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"Albania",1.7,"Research and development (R&D)",2015,"Europe",2.3,"Human capital and research"
"United Kingdom",89.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Netherlands",89.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"France",87.5,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Spain",77.6,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Norway",77.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Finland",76.7,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Sweden",75.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Estonia",74.9,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Denmark",74,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Germany",72.9,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Luxembourg",72.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Austria",70.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Italy",70.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Iceland",69.9,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Ireland",69.3,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Belgium",68.7,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Latvia",68.2,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Lithuania",65.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Greece",65.7,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Russian Federation",65.4,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Portugal",62.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Switzerland",62.2,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Slovakia",58.7,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Malta",58,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Poland",55.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Hungary",55.2,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Moldova, Republic of",55.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Montenegro",53.2,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Slovenia",53.2,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Croatia",52.3,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Romania",49,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Serbia",49,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Belarus",47.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Czech Republic",46.8,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Albania",44.2,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Bulgaria",41.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"TFYR Macedonia",38.4,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Ukraine",38.1,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Bosnia and Herzegovina",36.3,"Information and communication technologies (ICTs)",2015,"Europe",3.1,"Infrastructure"
"Norway",68.1,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Sweden",55.5,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Estonia",50.6,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Finland",49.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"France",47.8,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Iceland",47.4,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Belgium",46.8,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Switzerland",46.6,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Germany",45.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Czech Republic",43,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Austria",42.7,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Netherlands",42.5,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Belarus",42.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Denmark",38.6,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Spain",38.5,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Luxembourg",38.5,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Slovenia",38.4,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"United Kingdom",38.2,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Ireland",37.9,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Bulgaria",37.5,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Poland",36,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Italy",35.6,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Latvia",35.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Portugal",32.2,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Hungary",32.1,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Slovakia",32,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Serbia",30.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Russian Federation",29.8,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Malta",28.6,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Montenegro",27.5,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Lithuania",27.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Albania",26.8,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Croatia",26.4,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Greece",26.1,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Romania",25.8,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Bosnia and Herzegovina",24.9,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Moldova, Republic of",24.1,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"TFYR Macedonia",16.3,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Ukraine",16,"General infrastructure",2015,"Europe",3.2,"Infrastructure"
"Switzerland",67.1,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Spain",67,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Italy",66.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Czech Republic",63,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"United Kingdom",61.8,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Malta",57.5,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Ireland",57.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Estonia",57.2,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Slovakia",57.2,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Sweden",57,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Slovenia",56.5,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Portugal",55.7,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Croatia",55.1,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Denmark",54.5,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Hungary",54.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Romania",52.3,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Austria",52.2,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Germany",52.1,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Luxembourg",52.1,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Greece",52,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Lithuania",51.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Bulgaria",51.2,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Netherlands",49.9,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Finland",49.5,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Norway",49,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Serbia",48.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Latvia",48.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"France",47.1,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Albania",46,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Poland",44.7,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Belgium",41.9,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"TFYR Macedonia",39.6,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Iceland",38,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Montenegro",37.2,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Belarus",35.7,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Bosnia and Herzegovina",31.4,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Moldova, Republic of",28.9,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Russian Federation",26.6,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Ukraine",24.8,"Ecological sustainability",2015,"Europe",3.3,"Infrastructure"
"Denmark",67.9,"Credit",2015,"Europe",4.1,"Market sophistication"
"United Kingdom",63,"Credit",2015,"Europe",4.1,"Market sophistication"
"Ireland",62.6,"Credit",2015,"Europe",4.1,"Market sophistication"
"Spain",58.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Switzerland",57.8,"Credit",2015,"Europe",4.1,"Market sophistication"
"Netherlands",54.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Portugal",50.4,"Credit",2015,"Europe",4.1,"Market sophistication"
"Germany",49.9,"Credit",2015,"Europe",4.1,"Market sophistication"
"Sweden",49.6,"Credit",2015,"Europe",4.1,"Market sophistication"
"Finland",48.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Austria",48.1,"Credit",2015,"Europe",4.1,"Market sophistication"
"Estonia",46.6,"Credit",2015,"Europe",4.1,"Market sophistication"
"Greece",44.9,"Credit",2015,"Europe",4.1,"Market sophistication"
"Iceland",44.7,"Credit",2015,"Europe",4.1,"Market sophistication"
"Latvia",44.5,"Credit",2015,"Europe",4.1,"Market sophistication"
"Czech Republic",43.5,"Credit",2015,"Europe",4.1,"Market sophistication"
"France",43,"Credit",2015,"Europe",4.1,"Market sophistication"
"Lithuania",42,"Credit",2015,"Europe",4.1,"Market sophistication"
"Italy",41.5,"Credit",2015,"Europe",4.1,"Market sophistication"
"Norway",41.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Slovakia",39.2,"Credit",2015,"Europe",4.1,"Market sophistication"
"TFYR Macedonia",39.1,"Credit",2015,"Europe",4.1,"Market sophistication"
"Montenegro",38.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Belgium",36.8,"Credit",2015,"Europe",4.1,"Market sophistication"
"Moldova, Republic of",36.6,"Credit",2015,"Europe",4.1,"Market sophistication"
"Bulgaria",36.1,"Credit",2015,"Europe",4.1,"Market sophistication"
"Albania",35.8,"Credit",2015,"Europe",4.1,"Market sophistication"
"Bosnia and Herzegovina",35.4,"Credit",2015,"Europe",4.1,"Market sophistication"
"Luxembourg",34.1,"Credit",2015,"Europe",4.1,"Market sophistication"
"Romania",33.4,"Credit",2015,"Europe",4.1,"Market sophistication"
"Ukraine",33.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Serbia",31.1,"Credit",2015,"Europe",4.1,"Market sophistication"
"Poland",31,"Credit",2015,"Europe",4.1,"Market sophistication"
"Hungary",30.2,"Credit",2015,"Europe",4.1,"Market sophistication"
"Slovenia",28.7,"Credit",2015,"Europe",4.1,"Market sophistication"
"Croatia",26.5,"Credit",2015,"Europe",4.1,"Market sophistication"
"Malta",24.4,"Credit",2015,"Europe",4.1,"Market sophistication"
"Russian Federation",23.8,"Credit",2015,"Europe",4.1,"Market sophistication"
"Belarus",23.3,"Credit",2015,"Europe",4.1,"Market sophistication"
"Albania",72.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Switzerland",71.6,"Investment",2015,"Europe",4.2,"Market sophistication"
"United Kingdom",69.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Finland",57.9,"Investment",2015,"Europe",4.2,"Market sophistication"
"Sweden",56.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Bosnia and Herzegovina",54.2,"Investment",2015,"Europe",4.2,"Market sophistication"
"Denmark",52.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Belarus",51.7,"Investment",2015,"Europe",4.2,"Market sophistication"
"Luxembourg",50.9,"Investment",2015,"Europe",4.2,"Market sophistication"
"Spain",50.3,"Investment",2015,"Europe",4.2,"Market sophistication"
"France",48.1,"Investment",2015,"Europe",4.2,"Market sophistication"
"Ireland",46.2,"Investment",2015,"Europe",4.2,"Market sophistication"
"Montenegro",45.2,"Investment",2015,"Europe",4.2,"Market sophistication"
"Norway",42.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Netherlands",42.2,"Investment",2015,"Europe",4.2,"Market sophistication"
"Moldova, Republic of",39,"Investment",2015,"Europe",4.2,"Market sophistication"
"Germany",38.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Belgium",37.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Italy",36.2,"Investment",2015,"Europe",4.2,"Market sophistication"
"Malta",36,"Investment",2015,"Europe",4.2,"Market sophistication"
"Croatia",34.8,"Investment",2015,"Europe",4.2,"Market sophistication"
"Serbia",34.6,"Investment",2015,"Europe",4.2,"Market sophistication"
"TFYR Macedonia",34.3,"Investment",2015,"Europe",4.2,"Market sophistication"
"Portugal",32.9,"Investment",2015,"Europe",4.2,"Market sophistication"
"Austria",32.8,"Investment",2015,"Europe",4.2,"Market sophistication"
"Iceland",32.6,"Investment",2015,"Europe",4.2,"Market sophistication"
"Russian Federation",32.3,"Investment",2015,"Europe",4.2,"Market sophistication"
"Poland",32,"Investment",2015,"Europe",4.2,"Market sophistication"
"Estonia",30.9,"Investment",2015,"Europe",4.2,"Market sophistication"
"Slovenia",29.5,"Investment",2015,"Europe",4.2,"Market sophistication"
"Bulgaria",29.1,"Investment",2015,"Europe",4.2,"Market sophistication"
"Lithuania",26.9,"Investment",2015,"Europe",4.2,"Market sophistication"
"Greece",26.7,"Investment",2015,"Europe",4.2,"Market sophistication"
"Slovakia",26.2,"Investment",2015,"Europe",4.2,"Market sophistication"
"Romania",26.1,"Investment",2015,"Europe",4.2,"Market sophistication"
"Latvia",26,"Investment",2015,"Europe",4.2,"Market sophistication"
"Czech Republic",25.8,"Investment",2015,"Europe",4.2,"Market sophistication"
"Hungary",23.3,"Investment",2015,"Europe",4.2,"Market sophistication"
"Ukraine",21.4,"Investment",2015,"Europe",4.2,"Market sophistication"
"Bosnia and Herzegovina",95.3,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Belarus",93.3,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Malta",90.7,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Belgium",90.4,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"United Kingdom",90.4,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Germany",89.2,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Netherlands",88.9,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Austria",88.5,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Czech Republic",87.8,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Switzerland",87.6,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Lithuania",86.8,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Latvia",86.7,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Estonia",86.2,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"France",85.9,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Slovakia",85.8,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Norway",85.7,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Spain",85.6,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Sweden",85,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Hungary",84.6,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Denmark",84.6,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Poland",83.9,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Luxembourg",83.7,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"TFYR Macedonia",83.4,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Italy",83.2,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Ireland",83.1,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Portugal",82.9,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Slovenia",82.6,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Greece",82.1,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Bulgaria",81.3,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Iceland",80.8,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Croatia",80,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Finland",78.3,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Ukraine",77.1,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Romania",76.3,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Moldova, Republic of",76.2,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Russian Federation",74.4,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Montenegro",69.5,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Albania",69,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Serbia",66.1,"Trade and competition",2015,"Europe",4.3,"Market sophistication"
"Sweden",76.8,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Finland",74.8,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Switzerland",73,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Ireland",70.6,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Denmark",70.3,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Belgium",68.9,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Iceland",67,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"France",64.7,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"United Kingdom",63.8,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Slovenia",62.9,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Norway",62.1,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Luxembourg",61.5,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Netherlands",61.3,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Belarus",59.6,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Germany",59.4,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Russian Federation",59.1,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Austria",56.1,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Spain",54.4,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Estonia",54,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Czech Republic",53.7,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
"Lithuania",52.4,"Knowledge workers",2015,"Europe",5.1,"Business sophistication"
